control_ref,requirement_family,control_title,basic_applicability,significant_applicability,high_applicability,explanation,implementation_steps,legacy_41_2015_ref,iso_27001_ref,nist_sp_800_53_rev5_ref,parameters,related_controls,source_ref,source_sheet,source_row_start,source_row_end,source_confidence,human_review_status,reviewer,reviewed_at,notes
1.1,1,Információbiztonsági szabályzat,X,X,X,"Az információbiztonsági szabályzat egy szervezeti szintű dokumentum, amely átfogó képet nyújt az érintett szervezet információbiztonsági követelményeiről. Leírja az egész szervezetre érvényes biztonsági szabályokat és követelményeket, amelyek az egész szervezeten belül kötelező érvényűek. Az információbiztonsági szabályzat lehet egyetlen dokumentum vagy dokumentumok gyűjteménye is. A szabályzat elegendő információt nyújt a biztonsági követelményekről, hogy lehetővé tegye a szabályzat szándékával egyértelműen összhangban lévő megvalósítást. Az információbiztonsági szabályzat frissítései során az érintett szervezet reagál a szervezetben bekövetkezett változásokra, valamint a szabályzatban foglaltak végrehajtása és a (felül)vizsgálatok során azonosított problémákra. A meghatározott biztonsági követelményeket végre kell hajtani szervezeti szinten, valamint az üzleti folyamatok szintjén, továbbá elengedhetetlenek a szervezet információbiztonsági céljainak kezeléséhez és eléréséhez. Az egyes EIR-ekhez tartozó rendszerbiztonsági tervek és az érintett szervezet információbiztonsági szabályzatnak együtt teljes képet kell nyújtaniuk a szervezetben alkalmazott biztonsági követelményekről és megvalósított védelmi intézkedésekről. Amennyiben ez szükséges, az információbiztonsági szabályzat hivatkozik a különálló rendszerbiztonsági tervekre vagy eljárásrendekre, amelyek tartalmazzák az alacsonyabb szintű rendelkezéseket. Az információbiztonsági szabályzat frissítését kiváltó események lehetnek értékelésből vagy (felül)vizsgálatból eredő megállapítások, biztonsági események vagy változások a hatályos jogszabályokban, irányelvekben, szabályozásokban, szabványokban és ajánlásokban. Az elvárt védelmi intézkedések egyszerű újraközlése nem minősülhet szervezeti szabályzatnak vagy eljárásrendnek.","1. A szervezetnek - a megfelelő szereplők bevonásával, dokumentált módon - ki kell dolgoznia egy információbiztonsági szabályzatot, amely átfogó képet nyújt a szervezet biztonsági követelményeiről és ezek alapján bevezetett vagy bevezetni kívánt védelmi intézkedésekről. Ez a szabályzat meghatározza a szervezet biztonsági célkitűzéseit, a hatályát, szerep- és felelősségi köröket, a vezetői elkötelezettséget, a szervezeten belüli és kívüli együttműködés kereteit, valamint a megfelelőségi kritériumokat.
2. A szervezetnek meg kell bizonyosodnia arról, hogy az információbiztonsági szabályzatban foglaltak megfelelnek a szervezetre vonatkozó hatályos jogszabályoknak, irányelveknek, szabályozásoknak, szabványoknak és ajánlásoknak. Az elvárt védelmi intézkedések egyszerű újraközlése nem minősülhet elfogadható információbiztonsági szabályzatnak.
3. A szervezet vezetőjének jóvá kell hagynia a szabályzatot, és felelősséget kell vállalnia a szervezeti tevékenységekért, a szervezeti eszközökért, a szervezethez köthető személyekért, a más szervezetek szempontjából számottevőnek tartott kockázatokért.
4. A szervezetnek gondoskodnia kell az információbiztonsági szabályzat megfelelő kihirdetéséről, valamint az érintett felekkel történő megismertetéséről.
5. A szervezetnek a gyakorlatban is alkalmaznia kell az információbiztonsági szabályzatban megfogalmazott elvárásokat, ezáltal biztosítva azok tényleges megvalósulását.
6. A szervezetnek gondoskodnia kell arról, hogy az informatikai biztonsági szabályzat jogosulatlanok számára ne legyen megismerhető. Az információbiztonsági szabályzat módosítására csupán az erre jogosultsággal rendelkező személyeknek, dokumentált módon van lehetősége.
7. A szervezetnek felül kell vizsgálnia és szükség esetén frissítenie kell az aktuális információbiztonsági szabályzatot a szervezet által meghatározott gyakorisággal, valamint a szervezet által meghatározott események bekövetkezését követően.",3.1.1.1. Informatikai biztonsági szabályzat,4.1; 4.2; 4.3; 4.4; 5.2; 5.3; 6.1.1; 6.2; 7.4; 7.5.1; 7.5.2; 7.5.3; 8.1; 9.3.1; 10.1; A.5.1; A.5.2; A.5.4; A.5.31; A.5.36,PM-1,Nincs meghatározandó paraméter.,Nincs kapcsolódó követelménypont!,SRC-009,1,2,10,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.2,1,Elektronikus információs rendszerek biztonságáért felelős személy,X,X,X,"Az érintett szervezet vezetője a jogszabályi követelményeknek megfelelően nevezi ki az EIR biztonságáért felelős személyt. Ez a személy felelős az érintett szervezet szintű információbiztonsági szabályzatnak való megfelelés koordinálásáért, fejlesztéséért, bevezetéséért és fenntartásáért. Az érintett szervezet vezetője biztosítja számára a célok eléréséhez szükséges erőforrásokat.","1. A szervezet vezetője kijelöl egy személyt, aki felelős lesz az elektronikus információs rendszerek biztonságáért. Ennek a személynek függetlennek kell lennie (pl. nem lehet egy személyben az informatikai vagy más vezető).
2. A szervezet vezetője biztosítja, hogy a kijelölt személy rendelkezzen a célok eléréséhez szükséges erőforrásokkal. Ez magában foglalhatja a megfelelő képzést, eszközöket, technológiát és támogató személyzetet.",3.1.1.2. Az elektronikus információs rendszerek biztonságáért felelős személy,5.1; 5.3; A.5.2,PM-2,Nincs meghatározandó paraméter.,Nincs kapcsolódó követelménypont!,SRC-009,1,11,12,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.3,1,Információbiztonságot érintő erőforrások,X,X,X,"A szervezetek fontolóra vehetik egy információbiztonságért felelős szakértői csoport létrehozását, amelybe a szükséges erőforrások bevonásának részeként speciális szakértelemmel rendelkező személyeket vonnak be. A szervezetek kijelölhetnek és felhatalmazhatnak egy beruházási felülvizsgálati bizottságot vagy hasonló csoportot, hogy irányítsa és felügyelje a beruházástervezési és -ellenőrzési folyamat információbiztonsági szempontjait.","1. A szervezetnek meg kell fontolnia, hogy olyan speciális szakértelemmel és szakmai elhivatottsággal rendelkező felelős(ök)et [ún. ""security champion""] nevez ki az információbiztonság területére, és a szükséges erőforrások bevonásának részeként biztosítja számára/számukra a szükséges jogköröket és erőforrásokat.
2. A szervezet kijelölhet és felhatalmazhat egy, a beruházások felülvizsgálatáért felelős csoportot, hogy kezelje és felügyelje az információbiztonsági szempontokat a költségvetés tervezési és ellenőrzési folyamatában.
3. A szervezet gondoskodik arról, hogy a szükséges dokumentáció összhangban legyen a hatályos törvényekkel, végrehajtási rendeletekkel, irányelvekkel, szabályozásokkal, szabványokkal és ajánlásokkal. Ez magában foglalja az EIR biztonsági szabályzatainak, eljárásrendjeinek, eljárásainak dokumentálását, valamint a kivételek dokumentálását és naplózását.
4. A szervezet biztosítja az információbiztonsági célok végrehajtásához és fejlesztéséhez tervezett forrásokat. Ez magában foglalja a szükséges anyagi források biztosítását, valamint a szükséges személyi és technikai erőforrások biztosítását. Az érintett szervezetnek biztosítania kell, hogy ezek az erőforrások beépüljenek az éves költségvetés tervezésébe és beruházási kérelmeibe.",Nincs vonatkozó referencia.,5.1; 6.2; 7.1,PM-3,Nincs meghatározandó paraméter.,"1.4. Intézkedési terv és mérföldkövei
16.2. Erőforrások rendelkezésre állása",SRC-009,1,13,17,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.4,1,Intézkedési terv és mérföldkövei,X,X,X,"Az intézkedési terv és a mérföldkövei kulcsfontosságú szervezeti dokumentum, amelyet a vezetőség felé jelenteni kell. A szervezetek intézkedési terveket és mérföldköveket dolgoznak ki az egész szervezetre kiterjedően, a priorizált kockázatkezelési intézkedésekkel, biztosítva az összhangot a szervezet céljaival és célkitűzéseivel. Az intézkedési terv és a mérföldköveinek frissítése a végrehajtott intézkedések értékelése és a folyamatos monitoring tevékenység alapján történik. Több intézkedési terv is létezhet egyszerre, az EIR-nek, az üzleti folyamatnak és a szervezet összetettségének megfelelően.","1. A szervezetnek be kell vezetnie egy folyamatot, amely biztosítja, hogy az információbiztonsági és ellátási lánc kockázatkezelési intézkedések, valamint az EIR-ek intézkedési tervei kidolgozásra és karbantartásra kerüljenek.
2. A szervezetnek dokumentálnia kell a helyreállító információbiztonsági és ellátási lánc kockázatkezelési intézkedéseket, hogy megfelelően reagálhasson a szervezet műveleteinek és eszközeinek, személyeknek, más szervezeteknek a kockázataira.
3. A szervezetnek be kell tartania a meghatározott jelentési követelményeket, hogy megfeleljen a szabályozási előírásoknak.
4. A szervezetnek át kell tekintenie az intézkedési terveket és mérföldköveket, hogy biztosítsa, hogy azok összhangban vannak a szervezet kockázatkezelési stratégiájával és a kockázatkezelési intézkedések szervezeti szintű prioritásaival.
5. A szervezetnek dokumentálnia kell az összes lépést és intézkedést, hogy biztosítsa a folyamat átláthatóságát és nyomon követhetőségét.",3.1.1.3. Az intézkedési terv és mérföldkövei,6.1.1; 6.2; 7.5.1; 7.5.2; 7.5.3; 8.3; 9.3.2; 10.2,PM-4,Nincs meghatározandó paraméter.,"5.9. Az intézkedési terv és mérföldkövei
5.14. Folyamatos felügyelet
1.3. Információbiztonságot érintő erőforrások
15.20. Kockázatokra adott válasz
18.67. Információ kezelése és megőrzése",SRC-009,1,18,24,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.5,1,Elektronikus információs rendszerek nyilvántartása,X,X,X,"Az érintett szervezetnek létre kell hoznia egy listát vagy adatbázist, amelyben nyomon követi az összes elektronikus információs rendszerének (EIR) rendszerelemeit és összetevőit. Ez magában foglalja a szoftvereket, hardvereket, hálózati infrastruktúrát és egyéb technológiai eszközöket.
Az EIR-ek nyilvántartása rendkívül fontos a szervezet számára, mivel segít azonosítani, hogy mely rendszerek fontosak az üzletmenet szempontjából, lehetővé teszi, hogy a szervezet nyomon követhesse a rendszerek jelenlegi állapotát, beleértve a frissítéseket, konfigurációkat és egyéb változásokat, segít a szervezetnek felmérni a rendszerek kockázatát, mivel a régi vagy elavult rendszerek gyakran nagyobb kockázatot jelentenek, lehetővé teszi az IT csapat számára, hogy hatékonyabban tervezzen és végrehajtson karbantartási és frissítési feladatokat és elősegíti a szükséges dokumentáció és a hitelesítési követelmények teljesítését.","1. A szervezetnek először létre kell hoznia egy EIR nyilvántartást. Ez magában foglalja az összes EIR azonosítását és kategorizálását a szervezeten belül.
2. A szervezetnek meg kell határoznia a nyilvántartás frissítésének gyakoriságát. Ez lehet hetente, havi vagy negyedéves rendszerességgel, attól függően, hogy milyen gyakran változnak az EIR-ek vagy azok rendszerelemei, összetevői.
3. A szervezetnek rendszeresen ellenőriznie kell az EIR-eket, hogy biztosítsa azok megfelelőségét és naprakészségét. Ez magában foglalja az EIR-ek ellenőrzését a nyilvántartásban rögzített változások alapján.
4. A szervezetnek dokumentálnia kell az EIR-ek változásait, beleértve az új rendszerelemek hozzáadását, a meglévők módosítását vagy törlését.
5. A szervezetnek biztosítania kell, hogy az EIR-ek nyilvántartása naprakész és pontosan egyezik a valósággal. Ez magában foglalja a nyilvántartás rendszeres felülvizsgálatát és frissítését.
6. A szervezetnek biztosítania kell, hogy a nyilvántartásban szereplő összes EIR megfelel az aktuális kiberbiztonsági követelményeknek. Ez magában foglalja a naplóban rögzített biztonsági események ellenőrzését és a szükséges intézkedések megtételét a biztonsági problémák kezelésére.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,PM-5,A követelményponthoz kapcsolódó szervezeti feladat a gyakoriság meghatározása,Nincs kapcsolódó követelménypont!,SRC-009,1,25,26,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.6,1,Biztonsági teljesítmény mérése,X,X,X,"Az érintett szervezet - az információbiztonsági szervezési intézkedéseire, valamint azok ellenőrzésére vonatkozó hatékonyság növelése érdekében - kifejleszti az EIR-ek biztonsági mérésének rendszerét. A mérési rendszer akkor eredményes, ha az az érintett szervezet kockázatkezelési stratégiájával, továbbá működési és menedzsment céljaival szoros kapcsolatban áll. Egy szofisztikáltan megalkotott, biztonsági teljesítmény mérésére szolgáló program olyan teljesítménymutatókat használ, melyek valós és reprezentatív képet adnak a menedzsment számára az EIR biztonságáról, illetőleg az érintett szervezet által alkalmazott biztonsági irányítási rendszer állapotáról. A biztonsági teljesítménymutatók irányulhatnak például a rendszer állapotára (rendszerfrissítések és azok hatékonysága - rendszerek naprakészsége), irányulhatnak az érintett szervezet kiberbiztonsági rezilienciájára (vírusvédelem hatékonysága, dolgozók biztonságtudatossága - például egy phishing kampánnyal szembeni ellenállása, egy adott képzést követő vizsga eredményei, vagy a felhasználók jelszókezelési szokásai), irányulhatnak többek között a szervezet reakcióidejére (pl. átlagos biztonsági esemény reagálási idő, sérülékenységek felfedése utáni frissítési és hibakezelési eljárási idő), de a rendelkezésre állás monitoring kapcsán is számos teljesítménymutató meghatározható. Gyakori teljesítménymutató továbbá az üzletmenet-folytonosság vonatkozásában az üzletmenet-folytonossági és katasztrófa utáni helyreállítási tesztelés végrehajtási ideje és annak hatékonysága. Az érintett szervezetek függetlenül attól, hogy tanúsítottak-e az ISO/IEC 27001 szabványra, a teljesítménymutatók megfelelő kiválasztása érdekében segítségül hívhatják az ISO/IEC 27004 nemzetközi szabványt.","1. A szervezetnek ki kell fejlesztenie az EIR-re vonatkozó biztonsági mérésének rendszerét.
2. A szervezetnek folyamatosan monitoroznia kell az általa meghatározott teljesítménymutatókat. Rendszeresen ellenőrizni kell a meghatározott mérőszámokat, és figyelemmel kell kísérni a változásokat. Ez lehetővé teszi a szervezet számára, hogy időben észlelje a potenciális biztonsági problémákat, és megtegye a szükséges lépéseket a kockázatok csökkentése érdekében.
3. A szervezetnek rendszeresen jelentéseket kell készítenie az EIR biztonsági mérési rendszerének eredményeiről. Ezek a jelentések részletes információkat tartalmaznak a mérőszámok aktuális állapotáról, a változásokról és a potenciális kockázatokról. A jelentések segítenek a szervezetnek a kiberbiztonsági stratégia finomításában, és lehetővé teszik a vezetőség számára, hogy megalapozott döntéseket hozzanak a biztonsági kérdésekben.
4. A szervezetnek rendszeresen felül kell vizsgálnia és frissítenie kell az EIR biztonsági mérési rendszerét, hogy biztosítsa annak relevanciáját és hatékonyságát a változó kiberbiztonsági környezetben.","3.3.5.2. A biztonsági teljesítmény mérése: Az érintett szervezet kifejleszti, felügyeli az elektronikus információs rendszerei biztonsági mérésének rendszerét.",5.3; 6.1.1; 6.2; 9.1,PM-6,Nincs meghatározandó paraméter.,"5.14. Folyamatos felügyelet
1.10. Kockázatkezelési stratégia",SRC-009,1,27,28,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.7,1,Szervezeti architektúra,X,X,X,"A biztonsági követelmények és védelmi intézedések integrálása a vállalati architektúrába segít annak biztosításában, hogy a biztonsági megfontolások a rendszerfejlesztési életciklus során mindvégig érvényesüljenek, és kifejezetten kapcsolódjanak a szervezet működési céljaihoz és üzleti folyamataihoz. A biztonsági követelmények integrálásának folyamata a vállalati architektúrába és a szervezet biztonsági architektúráiba is beágyazódik, összhangban a szervezeti kockázatkezelési stratégiával. Jelen követelmény esetében a az összes szervezeti rendszerre vonatkozó biztonsági követelményt alakítják ki. A Tervezés követelménycsoport részét képező Biztonsági Architektúra követelmény esetében a biztonsági architektúrát az egyedi rendszerek szintjén alakítják ki. A rendszerszintű architektúra összhangban van a szervezet számára meghatározott biztonsági architektúrával. A biztonsági követelmények és a védelmi intézkedések integrációja a leghatékonyabban a kockázatkezelési keretrendszer és a támogató biztonsági szabványok és iránymutatások következetes alkalmazásával valósítható meg.","1. A szervezetnek fejlesztenie kell egy vállalati architektúrát, amely integráltan kezeli az összes szervezeti biztonsági követelményt.
2. A szervezetnek a biztonsági követelmények integrációs folyamata során össze kell hangolnia a vállalati architektúrát és az érintett szervezet biztonsági architektúráit, valamint a szervezet kockázatkezelési stratégiáját. A ""Információbiztonsági architektúra leírás (Tervezés)"" követelmény esetében a biztonsági és adatvédelmi architektúrákat egyetlen EIR szintjén kell kifejleszteni. Az egyes EIR szintű architektúráknak összhangban kell állniuk a szervezet számára meghatározott biztonsági architektúrákkal. A biztonsági követelmények integrációját a legjobban a Kockázatkezelési Keretrendszer szigorú alkalmazásával, valamint a különböző biztonsági szabványok és irányelvek segítségével lehet elérni.
3. A szervezetnek dokumentálnia kell az egész folyamatot, hogy nyomon követhesse a fejlődést és az felmerülő problémákat.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,PM-7,Nincs meghatározandó paraméter.,"4.13. Naplóbejegyzések felülvizsgálata, elemzése és jelentéstétel
13.2. Rendszerbiztonsági terv
13.6. Információbiztonsági architektúra leírás
1.12. Szervezeti működés és üzleti folyamatok meghatározása
15.2. Biztonsági osztályba sorolás
16.3.1. A rendszer fejlesztési életciklusa
16.16. Biztonságtervezési elvek
16.87. Fejlesztői biztonsági architektúra és tervezés",SRC-009,1,29,30,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.8,1,Szervezeti architektúra – Tehermentesítés,-,-,-,"Nem minden funkció vagy szolgáltatás, amelyet egy rendszer nyújt, alapvető fontosságú a szervezet működési céljai vagy az üzleti funkciói szempontjából. A nyomtatás vagy másolás egy példa lehet a szervezet számára nem alapvető, de támogató szolgáltatásra. Amennyiben lehetséges, az ilyen támogató, de nem alapvető funkciókat vagy szolgáltatásokat nem helyezik egy helyre az alapvető működési célokat vagy üzleti funkciókat támogató funkciókkal vagy szolgáltatásokkal. Az ilyen funkciók ugyanazon a rendszeren vagy rendszerösszetevőn való fenntartása növeli a szervezet működési céljai szempontjából alapvető fontosságú funkcióinak vagy szolgáltatásainak a támadási felületét. A támogató, de nem létfontosságú funkciók nem kritikus rendszerbe, rendszerelembe vagy külső szolgáltatóhoz történő áthelyezése szintén növelheti a hatékonyságot azáltal, hogy ezeket a funkciókat vagy szolgáltatásokat olyan személyek vagy szolgáltatók irányítása alá helyezi, akik a funkciók vagy szolgáltatások szakértői.","1. A szervezetnek először meg kell határoznia, mely funkciók és szolgáltatások nem kritikusak a szervezet működése szempontjából.
2. A szervezetnek át kell helyeznie a támogató, de nem alapvető fontosságú funkciókat és szolgáltatásokat azoktól az EIR-ekből vagy rendszerelemekből, amelyek az alapvető alapfeladatokat vagy üzleti funkciókat támogatják.
3. A szervezetnek át kell helyeznie a támogató, de nem létfontosságú funkciókat egy nem kritikus EIR-re, rendszerelemre vagy külső szolgáltatóhoz.
4. A szervezetnek dokumentálnia kell a nem kritikus funkciók és szolgáltatások áthelyezését, hogy nyomon követhető legyen a folyamat és biztosítható legyen a biztonsági követelményeknek való megfelelés.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,PM-7(1),A követelményponthoz kapcsolódó szervezeti feladat a nem alapvető funkciók vagy szolgáltatások meghatározása,16.16. Biztonságtervezési elvek,SRC-009,1,31,32,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.9,1,A szervezet működése szempontjából kritikus infrastruktúra biztonsági terve,X,X,X,"A védelmi stratégiák a kritikus eszközök és erőforrások rangsorolásán alapulnak. A szervezet működése szempontjából kritikus infrastruktúra és a kulcsfontosságú erőforrások meghatározására és a kapcsolódó infrastruktúra védelmi tervének elkészítésére vonatkozó követelményeket és útmutatást a vonatkozó jogszabályok, végrehajtási rendeletek, irányelvek, szabályok, rendeletek, szabványok és iránymutatások tartalmazzák.","1. A szervezetnek meg kell határoznia, melyek a szervezet működése szempontjából kritikus infrastruktúrák és kulcsfontosságú erőforrások.
2. A szervezetnek ki kell dolgoznia az ezen infrastruktúrák biztonsági tervét. Ez a terv tartalmazza az információbiztonsági kérdéseket, beleértve az EIR védelmét és a kiberbiztonsági fenyegetések kezelését.
3. A szervezetnek dokumentálnia kell a biztonsági tervet, beleértve az EIR-re vonatkozó információbiztonsági intézkedéseket. Ez magában foglalja a biztonsági eljárásokat, a kiberbiztonsági fenyegetések kezelésének módszereit, és a szervezet működése szempontjából kritikus infrastruktúrák és erőforrások védelmének stratégiáit.
4. A szervezetnek rendszeresen frissítenie kell a szervezet működése szempontjából kritikus infrastukrúrák biztonsági tervet, hogy az naprakész legyen és megfeleljen a változó kiberbiztonsági környezetnek. Ez magában foglalja az EIR-re vonatkozó információbiztonsági intézkedések felülvizsgálatát és módosítását, valamint a infrastruktúrák és erőforrások védelmének stratégiáinak aktualizálását.
5. A szervezetnek dokumentálnia kell a biztonsági terv kidolgozásának, módosításának és frissítésének folyamatát.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,PM-8,Nincs meghatározandó paraméter.,"7.2. Üzletmenet-folytonossági terv
7.13. Üzletmenet-folytonossági terv tesztelése
12.44. Az információs rendszer elemeinek elhelyezése
13.2. Rendszerbiztonsági terv
1.10. Kockázatkezelési stratégia
1.12. Szervezeti működés és üzleti folyamatok meghatározása
15.4. Kockázatértékelés
18.67. Információ kezelése és megőrzése",SRC-009,1,33,34,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
1.10,1,Kockázatmenedzsment stratégia,X,X,X,"Az egész szervezetre kiterjedő kockázatkezelési stratégia magában foglalja a szervezet kockázattűrésének meghatározását, a kockázatcsökkentési stratégiákat, az elfogadható kockázatértékelési módszereket, a szervezet egészére kiterjedő kockázatértékelésének folyamatát, valamint a kockázat időbeli nyomon követésére szolgáló megközelítéseket. A kockázatkezelésért felelős vezető (a szervezet vezetője vagy kijelölt képviselője) összehangolja az információbiztonság irányítási folyamatait a stratégiai, operatív és költségvetési tervezési folyamatokkal. A kockázatkezelésért felelős vezető által vezetett kockázatkezelési irányítási funkció elősegítheti a kockázatkezelési stratégia következetes alkalmazását az egész szervezetre kiterjedően. A kockázatkezelési stratégiát a szervezeten belüli és kívüli, más forrásokból származó, a kockázatokkal kapcsolatos információkkal lehet alátámasztani annak biztosítása érdekében, hogy a stratégia kellően széles körű és átfogó legyen. Az ellátási lánc kockázatkezelési stratégiája szintén hasznos információkat szolgáltathat a szervezet egészére kiterjedő kockázatkezelési stratégiához.","1. A szervezetnek ki kell dolgoznia egy átfogó kockázatkezelési stratégiát, amely tartalmazza a szervezet kockázattűrését, a kockázatok csökkentésének stratégiáit, az elfogadható kockázatértékelési módszertanokat, egy folyamatot a biztonsági kockázatok értékelésére az egész szervezeten belül, valamint a szervezet kockázattűrésével összhangban, és a megközelítéseket a kockázatok időbeli nyomon követésére.
2. A kockázatkezelésért felelős személy összehangolja az információbiztonsági irányítási folyamatokat a stratégiai, operatív és költségvetési tervezési folyamatokkal.
3. Az EIR-ekkel kapcsolatos ellátási lánc kockázatkezelési stratégia,  hasznos bemeneteket is nyújthat az érintett szervezet széles körű kockázatkezelési stratégiájához.
4. Az érintett szervezet által meghatározott gyakorisággal és esetekben felülvizsgálja és frissíti a kockázatkezelési stratégiát, hogy meg tudjon felelni a szervezeti változásoknak. Ezt a folyamatot naplózni kell, hogy biztosítsa a folyamat átláthatóságát és nyomon követhetőségét.",Nincs vonatkozó referencia.,4.3; 4.4; 6.1.1; 6.1.2; 6.2; 7.5.1; 7.5.2; 7.5.3; 10.1,PM-9,Nincs meghatározandó paraméter.,"2.1. Szabályzat és eljárásrendek
4.1. Szabályzat és eljárásrendek
3.1. Szabályzat és eljárásrendek
5.1. Szabályzat és eljárásrendek
5.2. Biztonsági értékelések
5.9. Az intézkedési terv és mérföldkövei
5.11. Engedélyezés
5.14. Folyamatos felügyelet
6.1. Szabályzat és eljárásrendek
7.1. Szabályzat és eljárásrendek",SRC-009,1,35,41,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
