control_ref,official_title,official_requirement,basic_applicability,significant_applicability,high_applicability,official_source_ref,official_pdf_pages,amendment_status,official_source_document
1.1,Információbiztonsági szabályzat,"1.1. A szervezet: 1.1.1. Kidolgozza és kihirdeti az információbiztonsági szabályzatot, amely: 1.1.1.1. átfogó képet nyújt a biztonsági követelményekről, valamint a követelményeknek való megfelelés érdekében a szervezet által működtetett, vagy bevezetni kívánt védelmi intézkedésekről. 1.1.1.2. meghatározza a célkitűzéseket, a ható- és szerepköröket, a felelősségeket, a vezetői elkötelezettséget, a szervezeten belüli együttműködés kereteit és a megfelelőségi kritériumokat. 1.1.1.3. Leírja az információbiztonságért felelős szervezeti egységek közötti együttműködést. 1.1.1.4. A szervezet vezetője által kerül jóváhagyásra, aki felelősséget vállal és elszámoltatható a szervezeti műveletek (beleértve a célkitűzéseket, funkciókat, imázst és hírnevet), a szervezeti eszközök, személyek, más szervezetek szempontjából számottevőnek tartott kockázatokért. 1.1.2. Felülvizsgálja és frissíti az információbiztonsági szabályzatot a szervezet által meghatározott gyakorisággal és a szervezet által meghatározott események bekövetkezését követően. 1.1.3. Gondoskodik arról, hogy az információbiztonsági szabályzat jogosulatlanok számára ne legyen megismerhető, módosítható.",X,X,X,SRC-010,45,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.2,Elektronikus információs rendszerek biztonságáért felelős személy,"1.2. A szervezet vezetője a jogszabályi követelményeknek megfelelő, az elektronikus információs rendszerek biztonságáért felelős személyt nevez ki a szervezeti szintű információbiztonsági szabályzatnak való megfelelés koordinálására, fejlesztésére, bevezetésére és fenntartására és biztosítja számára a célok eléréséhez szükséges erőforrásokat.",X,X,X,SRC-010,45,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.3,Információbiztonságot érintő erőforrások,"1.3. A szervezet: 1.3.1. Beépíti az információbiztonsági célok végrehajtásához és fejlesztéséhez szükséges erőforrásokat az éves költségvetés tervezésébe és beruházási kérelmeibe, valamint dokumentál minden olyan esetet, amelyek e követelmény alól kivételt képeznek. 1.3.2. Gondoskodik arról, hogy a szükséges dokumentáció összhangban legyen a hatályos törvényekkel, végrehajtási rendeletekkel, irányelvekkel, szabályozásokkal, szabványokkal és ajánlásokkal. 1.3.3. Biztosítja az információbiztonsági célok végrehajtásához és fejlesztéséhez tervezett forrásokat.",X,X,X,SRC-010,45;46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.4,Intézkedési terv és mérföldkövei,"1.4. A szervezet: 1.4.1. Bevezet egy folyamatot, amely biztosítja, hogy az információbiztonság és az ellátási lánc kockázatkezelése, valamint a kapcsolódó szervezeti elektronikus információs rendszerek (a továbbiakban: EIR-ek) intézkedési tervei: 1.4.1.1. ki legyenek dolgozva és karban legyenek tartva; 1.4.1.2. dokumentálják a helyreállító információbiztonsági és ellátási lánc kockázatkezelési intézkedéseket, hogy megfelelően reagáljanak a szervezeti műveletek és eszközök, személyek, más szervezetek kockázataira; 1.4.1.3. a meghatározott jelentési követelmények bemutatásra kerüljenek. 1.4.2. Áttekinti az intézkedési terveket és mérföldköveket, hogy azok összhangban állnak-e a szervezeti kockázatmenedzsment stratégiával és a kockázatkezelési intézkedések szervezeti szintű prioritásaival.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.5,Elektronikus információs rendszerek nyilvántartása,"1.5. A szervezet létrehozza és a szervezet EIR-jeiben bekövetkezett változások (pl.: új rendszer bevezetése, meglévő rendszer kivezetése) esetén frissíti, valamint a szervezet által meghatározott gyakorisággal felülvizsgálja az EIR-ek nyilvántartását.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.6,Biztonsági teljesítmény mérése,"1.6. A szervezet kifejleszti az EIR-ei biztonsági mérésének rendszerét, folyamatosan felügyeli a teljesítménymutatókat, és rendszeres jelentéseket készít ezekről.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.7,Szervezeti architektúra,"1.7. A szervezet kifejleszti és fenntartja a szervezeti szervezetrendszert, amely tekintettel van mindazon kockázatokra, amelyek hatással lehetnek a szervezeti működésre, az eszközökre, az egyénekre és más szervezetekre.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.8,Szervezeti Architektúra – Tehermentesítés,"1.8. A szervezet más rendszerekbe, rendszerelemekbe szervezi át vagy külső szolgáltatóhoz szervezi ki a szervezet által meghatározott és a szervezet működése szempontjából nem kritikus funkciókat vagy szolgáltatásokat.",-,-,-,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.9,A szervezet működése szempontjából kritikus infrastruktúra biztonsági terve,"1.9. A szervezet a szervezet működése szempontjából kritikus infrastruktúra és kulcsfontosságú erőforrások biztonsági tervének kidolgozása, dokumentálása és frissítése során kezeli az információbiztonsági kérdéseket.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
1.10,Kockázatmenedzsment stratégia,"1.10. A szervezet: 1.10.1. Kidolgoz egy átfogó stratégiát, amely kezeli: 1.10.1.1. Az EIR-ek működésével és használatával összefüggő, a szervezet működéséhez, vagyonelemeihez, a szervezethez köthető személyekhez, és más szervezetekhez kapcsolódó biztonsági kockázatokat 1.10.1.2. Személyes adatok kezeléséből fakadó kockázatokat. 1.10.2. Az egész szervezeten belül egységesen alkalmazza a kockázatmenedzsment stratégiát. 1.10.3. A szervezet által meghatározott gyakorisággal és esetekben felülvizsgálja és frissíti a kockázatmenedzsment stratégiát, hogy meg tudjon felelni a szervezeti változásoknak.",X,X,X,SRC-010,46,UNCHANGED_BY_18_2024,Magyar Közlöny 2024. évi 68. szám; 7/2024. (VI. 24.) MK rendelet 2. melléklet
